%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387122786324024,1979,1336387122786324024,,627,596,0.189536043
1336387122984797955,1980,1336387122984797955,,616,589,0.171149277
1336387123183271885,1981,1336387123183271885,,620,590,0.170816634
1336387123282508850,1982,1336387123282508850,,620,596,0.192562808
1336387123480983973,1983,1336387123480983973,,618,591,0.175377591
1336387123679457903,1984,1336387123679457903,,625,598,0.194510765
1336387123877930880,1985,1336387123877930880,,610,585,0.17739981
1336387124076403856,1986,1336387124076403856,,603,575,0.178862829
1336387124274878979,1987,1336387124274878979,,592,565,0.171938972
1336387124473351955,1988,1336387124473351955,,585,558,0.186787647
1336387124572588921,1989,1336387124572588921,,612,590,0.190867644
1336387124771062851,1990,1336387124771062851,,578,550,0.176845936
1336387124969537020,1991,1336387124969537020,,613,585,0.179578689
1336387125168009996,1992,1336387125168009996,,614,575,0.184284819
1336387125366485834,1993,1336387125366485834,,613,589,0.18646987
1336387125564957857,1994,1336387125564957857,,620,595,0.184537086
1336387125763433933,1995,1336387125763433933,,606,582,0.194732648
1336387125961907864,1996,1336387125961907864,,602,592,0.161052396
1336387126160379887,1997,1336387126160379887,,604,589,0.183912002
1336387126358854055,1998,1336387126358854055,,616,589,0.185410648
1336387126557327986,1999,1336387126557327986,,620,594,0.150790046
1336387126755801916,2000,1336387126755801916,,615,579,0.141368115
1336387126855038881,2001,1336387126855038881,,607,582,0.223572633
1336387127152750015,2002,1336387127152750015,,579,533,0.18136741
1336387127351223946,2003,1336387127351223946,,583,550,0.176835265
1336387127450460911,2004,1336387127450460911,,613,588,0.180891088
1336387127648933887,2005,1336387127648933887,,581,541,0.184769518
1336387127847409010,2006,1336387127847409010,,582,557,0.196412747
1336387128045881987,2007,1336387128045881987,,601,578,0.185424216
1336387128244355917,2008,1336387128244355917,,606,579,0.184531782
1336387128442829847,2009,1336387128442829847,,618,598,0.1864691
1336387128641304970,2010,1336387128641304970,,619,591,0.194611192
1336387128839776993,2011,1336387128839776993,,622,600,0.194506863
1336387129038250923,2012,1336387129038250923,,612,588,0.196953391
1336387129236724854,2013,1336387129236724854,,617,594,0.200772737
1336387129435197830,2014,1336387129435197830,,615,591,0.181708301
1336387129633672953,2015,1336387129633672953,,611,583,0.186300307
1336387129832146883,2016,1336387129832146883,,613,588,0.200385973
1336387130030619860,2017,1336387130030619860,,607,584,0.184169929
1336387130229094982,2018,1336387130229094982,,612,577,0.155928284
1336387130427568913,2019,1336387130427568913,,603,575,0.194428489
1336387130626041889,2020,1336387130626041889,,613,588,0.191145675
1336387130824516058,2021,1336387130824516058,,611,583,0.187853221
1336387131022989988,2022,1336387131022989988,,618,596,0.18515357
1336387131221464872,2023,1336387131221464872,,624,598,0.200776866
1336387131419937849,2024,1336387131419937849,,615,593,0.198647897
1336387131618412018,2025,1336387131618412018,,619,598,0.198172955
1336387131816885948,2026,1336387131816885948,,623,601,0.200262748
1336387132015359879,2027,1336387132015359879,,620,593,0.187196147
1336387132213832855,2028,1336387132213832855,,614,589,0.188811638
1336387132412307024,2029,1336387132412307024,,620,603,0.195076913
1336387132610781908,2030,1336387132610781908,,621,596,0.18755333
1336387132809254885,2031,1336387132809254885,,618,594,0.171013372
1336387132908491850,2032,1336387132908491850,,620,598,0.197642679
1336387133106966019,2033,1336387133106966019,,610,591,0.192535867
1336387133305439949,2034,1336387133305439949,,620,598,0.194414038
1336387133503913879,2035,1336387133503913879,,620,600,0.189621122
1336387133702386856,2036,1336387133702386856,,616,593,0.178883988
1336387133900861979,2037,1336387133900861979,,621,601,0.187290372
1336387134099334955,2038,1336387134099334955,,614,592,0.194606584
1336387134297808886,2039,1336387134297808886,,616,600,0.184327708
1336387134496283054,2040,1336387134496283054,,613,592,0.197440042
1336387134694756985,2041,1336387134694756985,,615,599,0.197042163
1336387134893230915,2042,1336387134893230915,,618,594,0.18906707
1336387135091703892,2043,1336387135091703892,,618,600,0.196975039
1336387135290179014,2044,1336387135290179014,,617,593,0.191247297
1336387135488651991,2045,1336387135488651991,,618,592,0.196577789
1336387135687126875,2046,1336387135687126875,,612,597,0.181908749
1336387135885599852,2047,1336387135885599852,,616,585,0.186957439
1336387136084074020,2048,1336387136084074020,,611,590,0.175380833
1336387136183310986,2049,1336387136183310986,,620,594,0.193628881
1336387136381784916,2050,1336387136381784916,,613,591,0.192464282
1336387136580258846,2051,1336387136580258846,,602,580,0.192344431
